Unnamed: 0,StudentId,CGPA,Major Projects,Certifications,Mini Projects,Technical Skills Rating,Internship,Hackathon,12th Percentage,10th Percentage,backlogs,PlacementStatus,Name,Age,Department,Attendance,Aptitude Score,Coding Score,Technical Interview Score,Programming Languages Known,Soft Skills Rating,Communication Score,Extra Curricular Activities,Expected Salary
38,39,8.5,2,3,3,9,Yes,Yes,79,86,0,Placed,Aarav Singh,24,Computer Science & Engineering,82.8,91.4,100.0,86.7,"Python, SQL, JavaScript, C++, Java",4.8,96.6,No,45.0
39,40,6.7,0,3,2,8,Yes,Yes,72,86,0,Placed,Aryan Sharma,21,Computer Science & Engineering,86.4,83.7,82.3,75.8,"SQL, C++, JavaScript, Swift",4.3,84.1,Yes,19.89
40,41,8.6,2,3,1,9,Yes,Yes,63,84,0,Placed,Kabir Choudhury,23,Mechanical Engineering,80.2,80.1,90.3,95.8,"C++, Java, SQL",4.8,93.9,Yes,39.87
41,42,8.3,2,3,2,8,Yes,Yes,77,83,1,Placed,Siddhi Gupta,20,Computer Science & Engineering,82.8,81.0,91.6,87.2,"Python, JavaScript, SQL",4.8,94.5,No,28.3
42,43,6.7,0,1,1,7,No,No,55,60,2,NotPlaced,Meghna Verma,23,Civil Engineering,76.2,45.0,69.0,54.5,"Python, C++, Java",4.5,92.2,Yes,5.8
43,44,8.6,2,3,2,8,Yes,Yes,80,87,0,Placed,Divya Iyer,21,Computer Science & Engineering,100.0,74.1,100.0,89.9,"SQL, Java, Go, Python",4.8,97.3,Yes,43.16
44,45,7.4,1,3,0,8,No,Yes,70,73,2,NotPlaced,Dev Kumar,22,Computer Science & Engineering,77.8,51.0,74.9,68.0,"SQL, C++, Java",4.8,99.8,No,5.8
45,46,6.7,1,1,2,7,No,No,55,66,0,Placed,Pooja Singh,24,Electronics & Communication Engineering,76.6,69.3,64.8,67.0,"SQL, C++, JavaScript",4.6,93.9,No,13.2
46,47,6.9,1,1,1,7,No,No,55,65,2,NotPlaced,Aryan Gupta,20,Electronics & Communication Engineering,67.8,30.0,59.0,49.1,"Python, Java",4.6,89.4,No,5.11
47,48,7.0,1,1,0,6,No,Yes,59,67,3,NotPlaced,Ananya Patel,24,Civil Engineering,86.7,31.3,51.3,46.6,"SQL, C++",4.4,86.4,Yes,4.85
48,49,8.1,1,3,2,9,Yes,Yes,77,87,1,Placed,Divya Sen,24,Electrical & Electronics Engineering,83.1,64.5,87.9,88.1,"C++, Python, Kotlin, Swift",4.4,94.9,No,27.93
49,50,7.7,1,2,0,7,Yes,No,55,66,2,NotPlaced,Sanjay Iyer,24,Information Technology,78.2,43.5,73.6,61.5,"Python, JavaScript, C++",4.0,72.8,No,5.8
50,51,6.5,0,2,1,7,No,Yes,56,65,4,NotPlaced,Meghna Joshi,24,Electronics & Communication Engineering,69.8,36.5,57.0,50.8,"Python, C++, SQL",5.0,97.5,No,3.99
51,52,8.2,1,3,0,6,Yes,No,66,65,1,NotPlaced,Alok Verma,21,Electrical & Electronics Engineering,79.3,44.5,66.9,49.2,"Python, C++",4.2,86.1,No,5.8
52,53,8.1,2,3,2,9,Yes,Yes,82,82,1,Placed,Aarav Verma,24,Information Technology,77.6,100.0,100.0,79.5,"C++, Python, SQL, JavaScript, Java",5.0,95.4,Yes,27.74
53,54,6.5,1,2,1,8,Yes,Yes,72,67,3,NotPlaced,Harsh Pandey,24,Computer Science & Engineering,75.3,40.4,68.8,60.0,"Python, JavaScript, SQL, C++, Java",4.5,86.1,Yes,5.8
54,55,6.5,0,2,1,7,No,No,57,69,2,NotPlaced,Sanya Verma,21,Computer Science & Engineering,61.3,70.2,68.8,46.1,"Python, Java",4.6,89.0,Yes,4.71
55,56,8.8,2,3,2,9,Yes,Yes,86,88,0,Placed,Aarav Iyer,23,Computer Science & Engineering,96.4,87.7,100.0,88.0,"Python, C++, SQL",4.6,93.6,No,39.34
56,57,8.0,1,1,0,7,Yes,Yes,55,65,2,NotPlaced,Sneha Mishra,21,Electrical & Electronics Engineering,71.8,55.9,61.4,66.4,"Python, Java, SQL",4.5,96.6,No,5.8
57,58,8.4,2,2,2,8,Yes,Yes,77,82,1,Placed,Dev Kumar,22,Information Technology,80.7,70.1,90.2,88.5,"SQL, Java, Python",5.0,87.6,No,27.69
58,59,8.0,1,1,0,8,No,No,55,83,3,NotPlaced,Riya Pandey,21,Computer Science & Engineering,67.3,59.2,74.9,59.5,"Python, JavaScript, Java",4.2,78.8,No,5.8
59,60,6.6,0,1,0,7,No,Yes,78,69,0,Placed,Sneha Reddy,23,Electrical & Electronics Engineering,97.6,90.1,61.5,71.4,"SQL, Python",4.1,81.7,No,11.91
60,61,7.7,2,2,0,8,Yes,Yes,79,64,4,NotPlaced,Diya Chatterjee,22,Computer Science & Engineering,81.3,67.8,82.6,61.4,"C++, Java, SQL",3.8,84.0,No,5.8
61,62,8.2,1,2,1,8,Yes,Yes,86,63,0,Placed,Vivek Singh,22,Electronics & Communication Engineering,77.3,78.7,89.2,76.2,"SQL, Python, Java, C++, JavaScript",4.2,90.0,No,25.03
62,63,7.2,1,2,0,7,No,No,70,65,3,NotPlaced,Vivek Rao,20,Mechanical Engineering,62.9,65.2,50.8,65.9,"Java, SQL, Python",3.8,84.8,No,4.7
63,64,6.6,1,2,1,7,No,No,55,75,4,NotPlaced,Abhishek Iyer,24,Information Technology,71.2,61.7,68.8,44.2,"Swift, C++",4.3,75.6,No,4.42
64,65,7.6,1,2,0,7,Yes,No,84,67,2,NotPlaced,Sanjay Singh,22,Computer Science & Engineering,77.0,46.5,67.3,53.6,"Python, Java",4.8,97.7,No,5.8
65,66,8.0,0,3,0,6,Yes,No,64,83,1,Placed,Riya Choudhury,22,Information Technology,82.8,77.3,82.3,79.6,"Python, C++, Kotlin",4.2,84.6,No,21.4
66,67,7.8,2,3,2,8,Yes,No,90,83,3,NotPlaced,Vikram Rao,23,Electronics & Communication Engineering,87.0,69.3,69.5,64.6,"JavaScript, C++, Java",5.0,99.3,Yes,5.8
67,68,7.2,1,1,0,8,Yes,Yes,57,64,2,NotPlaced,Diya Singh,22,Information Technology,68.4,49.4,69.1,55.5,"Go, Java, Python",4.7,89.6,No,5.8
68,69,7.7,1,1,0,7,No,Yes,57,68,0,Placed,Amit Patel,23,Computer Science & Engineering,87.3,99.6,82.7,71.9,"Kotlin, Java",3.9,83.5,No,18.53
69,70,8.4,1,1,2,6,Yes,Yes,76,69,1,NotPlaced,Krishna Joshi,24,Computer Science & Engineering,77.1,66.0,79.9,59.4,"Java, SQL",3.8,78.3,Yes,5.8
70,71,7.5,1,1,1,6,No,Yes,71,76,4,NotPlaced,Neha Choudhury,20,Electronics & Communication Engineering,67.6,32.1,56.6,51.1,"Java, C++, JavaScript",4.1,90.0,No,4.37
71,72,6.7,0,2,1,7,No,No,78,67,3,NotPlaced,Pooja Singh,20,Information Technology,67.9,58.4,64.2,44.9,"C++, SQL",4.3,82.4,Yes,4.64
72,73,8.1,2,3,2,9,Yes,Yes,80,86,1,Placed,Divya Sharma,24,Electrical & Electronics Engineering,82.4,76.6,93.6,96.8,"Go, C++, Python, SQL",4.9,96.3,Yes,25.32
73,74,7.5,1,2,0,7,No,No,66,84,2,NotPlaced,Tanvi Pillai,24,Electronics & Communication Engineering,72.5,60.9,67.7,68.8,"Go, C++",4.3,91.4,Yes,5.8
74,75,7.4,2,1,0,7,No,Yes,65,84,3,NotPlaced,Diya Kumar,21,Electronics & Communication Engineering,79.7,46.8,62.0,53.9,"JavaScript, C++",4.4,82.1,No,5.63
75,76,6.5,1,1,0,6,No,Yes,57,68,4,NotPlaced,Aditya Singh,22,Mechanical Engineering,78.3,48.2,40.5,41.4,"Kotlin, JavaScript",5.0,93.1,Yes,3.4
76,77,8.1,1,3,1,9,Yes,Yes,73,86,0,Placed,Krishna Gupta,22,Computer Science & Engineering,73.1,84.3,100.0,83.0,"JavaScript, SQL, Go, Python, Java",4.8,95.4,Yes,26.55
77,78,6.9,1,1,0,8,No,Yes,61,71,2,NotPlaced,Tanvi Kumar,22,Computer Science & Engineering,74.5,57.0,64.9,64.6,"Java, Python, SQL, JavaScript, C++",3.7,75.8,No,5.69
78,79,8.2,1,3,0,8,Yes,Yes,71,84,1,Placed,Harsh Sharma,23,Electronics & Communication Engineering,89.7,78.9,83.8,82.6,"Go, Python, C++",4.7,93.3,No,24.38
79,80,7.6,1,2,1,7,No,Yes,58,66,2,NotPlaced,Karan Pandey,21,Computer Science & Engineering,57.9,82.7,74.0,52.1,"JavaScript, Python, Java",3.8,85.4,No,5.8
80,81,6.6,1,1,1,6,No,Yes,55,72,4,NotPlaced,Vivek Kumar,22,Electronics & Communication Engineering,68.9,39.3,49.4,38.7,"Java, C++",3.7,79.0,No,3.4
81,82,6.7,1,2,1,7,Yes,Yes,72,64,2,Placed,Ananya Singh,23,Civil Engineering,81.2,99.8,51.6,66.4,"C++, Python, SQL",4.8,91.0,No,11.83
82,83,8.2,2,3,2,7,Yes,Yes,73,82,1,NotPlaced,Vihaan Verma,23,Mechanical Engineering,89.0,59.4,66.1,71.8,"SQL, C++",4.7,93.3,Yes,5.8
83,84,8.3,2,3,1,9,Yes,Yes,82,83,1,Placed,Harsh Das,20,Electronics & Communication Engineering,99.1,100.0,96.9,88.3,"Python, C++, Java",4.5,92.1,Yes,27.34
84,85,7.6,0,2,0,8,Yes,Yes,57,72,0,Placed,Siddhi Das,23,Mechanical Engineering,81.5,90.3,77.0,76.5,"Swift, SQL, JavaScript, Python, Kotlin",5.0,96.3,No,17.77
85,86,6.7,1,3,0,8,Yes,No,81,69,4,NotPlaced,Vihaan Patel,24,Computer Science & Engineering,78.1,58.1,74.7,51.3,"SQL, Swift, Python",5.0,90.4,No,5.8
86,87,8.1,0,2,1,8,No,No,71,68,1,NotPlaced,Pooja Iyer,23,Information Technology,84.0,57.9,82.5,67.0,"SQL, Python, JavaScript",3.7,74.8,No,5.8
87,88,8.5,1,2,2,7,Yes,Yes,76,66,0,Placed,Vivek Sharma,24,Information Technology,98.8,100.0,100.0,79.8,"Java, Go",4.0,77.5,No,41.86
88,89,8.8,1,3,0,7,Yes,Yes,75,84,0,Placed,Aarav Chatterjee,24,Computer Science & Engineering,96.8,67.1,90.0,85.4,"Python, SQL, Java",4.8,90.4,Yes,40.68
89,90,7.2,1,2,0,6,Yes,Yes,57,66,2,NotPlaced,Vihaan Joshi,20,Computer Science & Engineering,73.6,30.0,75.6,50.3,"Python, SQL, JavaScript",4.4,89.3,Yes,5.8
90,91,7.6,1,1,0,8,Yes,Yes,66,67,3,NotPlaced,Sneha Nair,20,Mechanical Engineering,69.8,55.5,71.7,65.8,"Go, SQL, Python",4.7,88.4,Yes,5.8
91,92,7.1,1,1,0,7,No,No,55,66,4,NotPlaced,Vivek Rao,23,Electrical & Electronics Engineering,69.8,58.5,58.4,55.7,"Python, Go",3.2,77.1,No,4.79
92,93,8.1,1,3,2,8,Yes,Yes,86,80,1,Placed,Priya Das,20,Electronics & Communication Engineering,84.2,89.8,88.2,73.7,"SQL, Kotlin, C++",4.5,91.9,Yes,25.87
93,94,7.4,1,3,0,8,No,Yes,65,82,4,NotPlaced,Yash Iyer,20,Computer Science & Engineering,65.4,45.3,63.7,62.7,"JavaScript, Python, SQL, C++",4.2,80.2,No,5.58
94,95,7.7,2,2,2,8,Yes,Yes,74,83,2,NotPlaced,Kiran Nair,22,Information Technology,58.7,79.9,72.7,66.2,"JavaScript, SQL, Python, C++, Swift",4.8,93.8,No,5.8
95,96,7.5,0,1,1,7,No,Yes,61,73,3,NotPlaced,Amit Choudhury,23,Mechanical Engineering,83.6,56.3,60.1,63.5,"C++, Python, SQL",3.5,68.5,No,5.8
96,97,7.5,1,1,0,6,No,No,73,66,4,NotPlaced,Aadhya Sharma,23,Electronics & Communication Engineering,84.9,40.1,54.4,53.4,"SQL, JavaScript, Python",4.1,81.9,Yes,5.14
97,98,7.8,2,2,2,9,Yes,No,81,82,1,Placed,Aryan Nair,23,Electronics & Communication Engineering,76.1,94.8,90.8,81.0,"Python, C++, Swift, Java, JavaScript",4.9,97.3,No,27.09
98,99,7.7,1,3,1,8,No,Yes,61,84,0,Placed,Aadhya Verma,20,Mechanical Engineering,79.6,95.1,74.9,69.2,"SQL, Python, Java",5.0,93.7,No,18.38
99,100,7.9,0,1,2,8,Yes,No,58,81,3,NotPlaced,Neha Rao,20,Electronics & Communication Engineering,81.6,42.0,67.4,70.0,"Python, SQL, C++",4.9,93.4,Yes,5.8
100,101,7.4,1,2,1,6,No,No,55,67,2,NotPlaced,Meera Verma,24,Electronics & Communication Engineering,64.7,69.1,58.7,47.3,"SQL, JavaScript, Go",3.8,79.6,Yes,5.4
101,102,7.3,1,1,0,8,No,Yes,64,65,2,NotPlaced,Meera Pillai,21,Computer Science & Engineering,70.8,39.8,64.5,60.9,"SQL, Python, C++, JavaScript",5.0,89.7,No,5.71
102,103,6.5,1,1,1,6,No,Yes,58,65,3,NotPlaced,Vivek Singh,21,Information Technology,70.2,49.8,49.2,46.8,"SQL, JavaScript, Java",3.8,75.8,No,3.45
103,104,7.5,2,1,1,7,Yes,Yes,57,80,4,NotPlaced,Divya Gupta,21,Electronics & Communication Engineering,83.2,57.5,60.6,58.0,"Python, Swift, Java",4.7,89.2,Yes,5.8
104,105,6.5,1,1,0,6,No,No,61,66,4,NotPlaced,Dev Banerjee,22,Computer Science & Engineering,71.1,61.6,56.7,46.3,"C++, JavaScript, Python",4.0,82.1,No,3.99
105,106,8.5,2,3,2,9,Yes,Yes,72,87,0,Placed,Alok Sharma,20,Electronics & Communication Engineering,96.6,86.6,91.3,91.7,"JavaScript, C++, Java, SQL, Swift",5.0,98.8,Yes,45.0
106,107,6.7,0,1,1,7,No,No,55,70,4,NotPlaced,Priya Banerjee,24,Computer Science & Engineering,86.7,69.4,63.4,47.7,"JavaScript, SQL",4.0,78.2,No,5.17
107,108,6.5,0,1,0,8,No,No,65,69,4,NotPlaced,Sanjay Reddy,24,Computer Science & Engineering,85.1,42.3,49.8,47.7,"JavaScript, SQL, Java",4.4,85.4,No,3.43
108,109,8.1,1,3,2,9,Yes,Yes,79,84,0,Placed,Meghna Singh,21,Information Technology,90.9,91.1,100.0,94.2,"Java, Python, C++, JavaScript, SQL",5.0,96.8,No,28.14
109,110,8.7,2,3,2,9,Yes,Yes,79,85,0,Placed,Aadhya Sen,22,Computer Science & Engineering,88.0,89.9,100.0,96.6,"Python, Java, SQL",5.0,95.0,No,42.76
110,111,8.0,1,1,3,8,No,Yes,57,61,3,NotPlaced,Vihaan Sharma,22,Mechanical Engineering,62.5,67.1,61.8,61.9,"JavaScript, C++, Python, Go",4.1,84.6,No,5.8
111,112,7.3,1,3,1,8,Yes,Yes,69,65,2,NotPlaced,Ananya Iyer,21,Computer Science & Engineering,71.0,53.9,76.1,54.8,"JavaScript, SQL, Python, C++, Java",4.5,90.9,No,5.8
112,113,7.4,1,1,1,8,Yes,No,55,62,2,NotPlaced,Harsh Kumar,21,Electronics & Communication Engineering,68.8,70.0,72.9,64.2,"SQL, Python, Kotlin",4.1,86.8,Yes,5.8
113,114,8.6,2,3,0,8,Yes,No,71,83,0,Placed,Meghna Chatterjee,20,Computer Science & Engineering,75.8,86.0,96.5,82.8,"Python, SQL, JavaScript, C++, Java",5.0,93.4,Yes,36.49
114,115,6.7,2,1,2,7,Yes,No,55,78,3,NotPlaced,Aadhya Verma,22,Computer Science & Engineering,68.8,75.7,54.1,47.0,"JavaScript, Python",4.7,97.2,No,4.81
115,116,7.6,1,1,1,6,No,No,55,67,4,NotPlaced,Neha Sharma,24,Information Technology,90.9,47.4,77.4,51.9,"JavaScript, Python, SQL",3.3,72.3,Yes,5.8
116,117,8.8,1,3,2,9,Yes,Yes,83,83,0,Placed,Karan Pillai,21,Mechanical Engineering,76.6,81.3,85.1,94.1,"Python, JavaScript, Java, C++, Swift",4.8,92.0,No,44.86
117,118,6.5,1,2,0,6,No,Yes,61,68,3,NotPlaced,Priya Das,20,Information Technology,76.8,60.8,57.9,47.3,"JavaScript, Python, Java",4.5,82.0,No,4.53
118,119,6.5,1,2,1,7,No,No,62,62,2,NotPlaced,Kabir Rao,24,Electrical & Electronics Engineering,56.8,76.1,41.7,58.1,"Python, C++, JavaScript",4.1,85.2,Yes,3.46
119,120,7.4,1,2,1,7,No,Yes,55,74,3,NotPlaced,Yash Gupta,22,Computer Science & Engineering,70.7,59.7,66.1,63.1,"C++, SQL",4.2,78.5,Yes,5.8
120,121,8.7,2,3,2,8,Yes,Yes,85,79,0,Placed,Neha Verma,21,Computer Science & Engineering,84.1,95.2,96.0,82.2,"Python, SQL, Java, C++, JavaScript",4.7,94.8,Yes,41.26
121,122,8.0,1,1,1,6,No,Yes,59,66,3,NotPlaced,Nikhil Verma,21,Electrical & Electronics Engineering,71.6,45.5,62.0,53.3,"C++, Go",4.3,86.5,No,5.8
122,123,7.7,1,3,2,9,Yes,No,80,85,0,Placed,Nikhil Banerjee,20,Information Technology,94.3,99.6,99.8,88.0,"JavaScript, Go, Python, C++",4.9,98.2,No,25.52
123,124,7.3,1,1,0,6,No,Yes,58,67,2,NotPlaced,Kavya Patel,20,Information Technology,78.7,48.7,73.0,51.7,"SQL, JavaScript",3.3,65.5,No,5.37
124,125,8.4,2,1,2,7,No,No,56,63,1,NotPlaced,Meghna Sen,22,Computer Science & Engineering,74.5,41.7,84.6,70.1,"SQL, Python, C++",4.1,78.4,No,5.8
125,126,7.7,1,2,0,7,No,Yes,65,75,1,Placed,Aditi Sharma,21,Computer Science & Engineering,78.7,78.0,81.4,69.6,"Java, Python",4.2,84.3,Yes,18.79
126,127,7.5,1,1,1,6,No,No,58,64,3,NotPlaced,Sai Sharma,20,Information Technology,59.5,75.4,64.7,53.2,"Java, C++",5.0,93.7,No,5.8
127,128,7.4,0,1,0,7,No,No,63,73,3,NotPlaced,Sanya Sen,21,Mechanical Engineering,76.3,55.4,55.1,59.4,"Python, SQL",4.5,87.2,No,5.04
128,129,7.4,1,1,1,6,No,Yes,73,73,2,NotPlaced,Neha Gupta,22,Computer Science & Engineering,63.9,43.2,75.4,60.4,"Java, Python, SQL",4.3,84.4,No,5.69
129,130,8.5,1,2,2,9,Yes,Yes,80,86,1,Placed,Rohan Verma,21,Mechanical Engineering,90.5,71.4,91.1,89.6,"Kotlin, SQL, Java, Python",5.0,100.0,No,39.68
130,131,8.0,1,3,0,8,Yes,Yes,85,84,0,Placed,Siddhi Sharma,24,Computer Science & Engineering,82.0,91.4,94.3,87.1,"Java, C++, Python, SQL, JavaScript",4.5,95.6,No,25.49
131,132,6.5,1,1,1,7,No,No,64,67,3,NotPlaced,Ananya Chatterjee,21,Information Technology,77.7,30.0,66.2,47.8,"SQL, Python, Java",3.9,76.0,Yes,4.48
132,133,8.4,1,1,0,8,Yes,No,78,82,1,Placed,Amit Mishra,23,Computer Science & Engineering,92.1,87.4,90.0,86.0,"Python, Java, SQL, JavaScript",4.7,94.0,Yes,22.88
133,134,8.7,0,3,2,8,No,No,87,84,1,NotPlaced,Abhishek Nair,23,Information Technology,65.0,64.8,100.0,68.9,"C++, JavaScript, Java, SQL",5.0,93.6,No,5.8
134,135,8.0,0,1,0,6,No,No,57,70,3,NotPlaced,Yash Mehta,22,Computer Science & Engineering,67.1,63.8,69.1,57.0,"Java, Python, C++",3.9,80.1,Yes,5.8
135,136,8.4,2,3,1,8,Yes,Yes,74,82,1,NotPlaced,Kabir Patel,22,Computer Science & Engineering,63.8,44.8,83.4,66.9,"JavaScript, Java, Python",4.7,88.3,No,5.8
136,137,8.2,2,3,2,9,Yes,Yes,90,81,0,Placed,Rahul Sharma,22,Civil Engineering,80.0,85.3,78.8,90.0,"C++, Python, Kotlin, SQL",4.6,84.6,No,25.98
137,138,8.1,2,2,2,9,Yes,Yes,73,82,0,Placed,Pooja Pandey,24,Electronics & Communication Engineering,93.5,71.8,81.5,82.9,"JavaScript, C++, Java",4.8,95.1,No,23.96
